model,mean_balanced_accuracy,std_balanced_accuracy,mean_log_loss,mean_roc_auc,mean_threshold,mean_fit_seconds,folds
kanboost_bandpower_inner_global,0.7050952380952381,0.12244833720935681,0.5770346364917708,0.7809999999999999,0.4556,0.4986693520002882,25
kanboost_combined_inner_global,0.699095238095238,0.08868417070373337,0.5619175988760037,0.8026190476190476,0.45039999999999997,0.49670391200023006,25
hist_gbdt_raw_t0p5,0.6706904761904763,0.10547705824824873,0.7859657078696953,0.7516190476190476,0.5,0.0,25
