model,mean_balanced_accuracy,std_balanced_accuracy,mean_log_loss,mean_roc_auc,mean_fit_seconds,folds
kanboost_combined_select80,0.6949761904761905,0.06792174417256734,0.5619175988760037,0.8026190476190476,0.5065029559998948,25
kanboost_bandpower_select80,0.6940952380952381,0.1206712103415351,0.5770346364917708,0.7809999999999999,0.561878819999838,25
kanboost_connectivity_only,0.6873571428571428,0.11366843570118466,0.5707277434853327,0.7865238095238095,0.49957672399985315,25
hist_gbdt_raw_t0p5,0.6706904761904763,0.10547705824824873,0.7859657078696953,0.7516190476190476,0.0,25
