model,cv_seed,mean_balanced_accuracy,mean_log_loss
hist_gbdt_select80,11,0.5444444444444445,1.2052975594632978
kanboost_e80_h3_s6_select80,11,0.5392156862745099,0.7025451273928479
hist_gbdt_select80,22,0.5209150326797386,1.2106802633562233
kanboost_e80_h3_s6_select80,22,0.538235294117647,0.6946819451975847
hist_gbdt_select80,33,0.5045751633986928,1.1205421979627608
kanboost_e80_h3_s6_select80,33,0.5205882352941177,0.6874156219508343
hist_gbdt_select80,44,0.5477124183006536,1.083013024515455
kanboost_e80_h3_s6_select80,44,0.5369281045751635,0.6923287770978476
hist_gbdt_select80,55,0.5205882352941177,1.1586529860467147
kanboost_e80_h3_s6_select80,55,0.5431372549019609,0.6909193133936449
