model,cv_seed,mean_balanced_accuracy,mean_log_loss
hist_gbdt_select80,11,0.5444444444444445,1.2052975594632978
kanboost_e150_h4_s8_select80,11,0.5735294117647058,0.7252046047742919
hist_gbdt_select80,22,0.5209150326797386,1.2106802633562233
kanboost_e150_h4_s8_select80,22,0.5441176470588236,0.7203645427688882
hist_gbdt_select80,33,0.5045751633986928,1.1205421979627608
kanboost_e150_h4_s8_select80,33,0.5493464052287582,0.7009405139742977
hist_gbdt_select80,44,0.5477124183006536,1.083013024515455
kanboost_e150_h4_s8_select80,44,0.5310457516339869,0.712302536893253
hist_gbdt_select80,55,0.5205882352941177,1.1586529860467147
kanboost_e150_h4_s8_select80,55,0.5143790849673202,0.715452373347971
