model,cv_seed,fold,balanced_accuracy,f1_macro,log_loss,roc_auc,fit_seconds
hist_gbdt_select80,11,1,0.488562091503268,0.4819078947368421,1.0174982057536395,0.5457516339869282,2.3240403000017977
hist_gbdt_select80,11,2,0.5392156862745098,0.5333333333333333,1.2482322837864912,0.4836601307189542,0.15447839999978896
hist_gbdt_select80,11,3,0.488562091503268,0.4819078947368421,1.4519499677937684,0.4281045751633987,0.1347133000017493
hist_gbdt_select80,11,4,0.5588235294117647,0.5553618134263296,1.265387941944958,0.46366782006920415,0.13315229999716394
hist_gbdt_select80,11,5,0.6470588235294118,0.6458333333333333,1.0434193980376316,0.6124567474048442,0.13668500000130734
hist_gbdt_select80,22,1,0.5147058823529411,0.5142857142857142,1.0894669886371253,0.5065359477124183,0.13000370000008843
hist_gbdt_select80,22,2,0.5718954248366013,0.5714285714285714,1.3177941863511629,0.545751633986928,0.13196130000142148
hist_gbdt_select80,22,3,0.488562091503268,0.4819078947368421,1.190584756347904,0.48366013071895425,0.14472659999955795
hist_gbdt_select80,22,4,0.47058823529411764,0.4631578947368421,1.4504748935749787,0.39446366782006914,0.14003759999832255
hist_gbdt_select80,22,5,0.5588235294117647,0.5553618134263296,1.005080491869945,0.5813148788927336,0.12873290000061388
hist_gbdt_select80,33,1,0.37254901960784315,0.3709150326797386,1.142588791666988,0.43137254901960786,0.13052600000082748
hist_gbdt_select80,33,2,0.5179738562091504,0.5078577336641853,1.5343789665002097,0.4738562091503268,0.13201500000286615
hist_gbdt_select80,33,3,0.5441176470588236,0.542483660130719,1.1130250207947263,0.5522875816993464,0.13889600000038627
hist_gbdt_select80,33,4,0.5294117647058824,0.5142857142857142,0.9030174071814737,0.5570934256055363,0.13162740000188933
hist_gbdt_select80,33,5,0.5588235294117647,0.5584415584415584,0.9097008036704071,0.6124567474048442,0.13473589999921387
hist_gbdt_select80,44,1,0.4852941176470588,0.4852941176470588,1.268697462087599,0.45098039215686275,0.14123840000320342
hist_gbdt_select80,44,2,0.5375816993464052,0.5238095238095238,0.9745317986068146,0.630718954248366,0.1355913999977929
hist_gbdt_select80,44,3,0.5686274509803921,0.56575682382134,1.1484761719567689,0.5588235294117647,0.1336327999997593
hist_gbdt_select80,44,4,0.6176470588235294,0.6146469049694856,0.8741941404146192,0.6228373702422145,0.15145440000196686
hist_gbdt_select80,44,5,0.5294117647058824,0.5294117647058824,1.1491655495114732,0.4636678200692042,0.12873709999985294
hist_gbdt_select80,55,1,0.5718954248366013,0.5714285714285714,1.1703419334789638,0.5196078431372548,0.13474800000039977
hist_gbdt_select80,55,2,0.45588235294117646,0.45536445536445536,1.2001994811359338,0.38235294117647056,0.13061000000016065
hist_gbdt_select80,55,3,0.45751633986928103,0.45714285714285713,1.2320708328359125,0.4901960784313726,0.14050119999956223
hist_gbdt_select80,55,4,0.47058823529411764,0.47058823529411764,1.0718183606739933,0.5501730103806228,0.1363442000001669
hist_gbdt_select80,55,5,0.6470588235294118,0.6458333333333333,1.1188343221087702,0.588235294117647,0.14096100000097067
kanboost_e150_h4_s8_select80,11,1,0.6323529411764706,0.6236559139784946,0.6916669168922126,0.6241830065359477,1.8727586999993946
kanboost_e150_h4_s8_select80,11,2,0.6258169934640523,0.6236559139784946,0.6959374507962334,0.5784313725490196,1.5649945999975898
kanboost_e150_h4_s8_select80,11,3,0.43300653594771243,0.41666666666666663,0.838205435638615,0.4117647058823529,1.5330612999969162
kanboost_e150_h4_s8_select80,11,4,0.47058823529411764,0.4535714285714286,0.7263522173391216,0.4844290657439447,1.3330766999970365
kanboost_e150_h4_s8_select80,11,5,0.7058823529411764,0.7048611111111112,0.6738610032052774,0.6678200692041523,1.4421775000009802
kanboost_e150_h4_s8_select80,22,1,0.630718954248366,0.6273546273546273,0.6359217457246549,0.7026143790849673,1.434437899999466
kanboost_e150_h4_s8_select80,22,2,0.5457516339869282,0.5394736842105263,0.7563407182447601,0.5065359477124183,1.4350690000028408
kanboost_e150_h4_s8_select80,22,3,0.5441176470588236,0.542483660130719,0.7411030345025017,0.5065359477124183,1.493749500001286
kanboost_e150_h4_s8_select80,22,4,0.4117647058823529,0.4097222222222222,0.765564335258549,0.5121107266435986,1.4447679000004428
kanboost_e150_h4_s8_select80,22,5,0.5882352941176471,0.5882352941176471,0.702892880113975,0.5743944636678201,1.4208945999998832
kanboost_e150_h4_s8_select80,33,1,0.48202614379084974,0.47500000000000003,0.7352099406727689,0.4673202614379085,1.5484603000004427
